Scanner

TOKEN(INCLUDE, "#include <stdio.h>")
TOKEN(PRINTF, "printf")
TOKEN(LPAREN, "(")
TOKEN(STRING, ""float + float = %f\n"")
TOKEN(COMA, ",")
TOKEN(ID, "c")
TOKEN(PLUS, "+")
TOKEN(ID, "d")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(PRINTF, "printf")
TOKEN(LPAREN, "(")
TOKEN(STRING, ""float - float = %f\n"")
TOKEN(COMA, ",")
TOKEN(ID, "c")
TOKEN(MINUS, "-")
TOKEN(ID, "d")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(PRINTF, "printf")
TOKEN(LPAREN, "(")
TOKEN(STRING, ""float * float = %f\n"")
TOKEN(COMA, ",")
TOKEN(ID, "c")
TOKEN(MUL, "*")
TOKEN(ID, "d")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(PRINTF, "printf")
TOKEN(LPAREN, "(")
TOKEN(STRING, ""float / float = %f\n"")
TOKEN(COMA, ",")
TOKEN(ID, "c")
TOKEN(DIV, "/")
TOKEN(ID, "d")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(PRINTF, "printf")
TOKEN(LPAREN, "(")
TOKEN(STRING, ""int + unsigned = %u\n"")
TOKEN(COMA, ",")
TOKEN(ID, "a")
TOKEN(PLUS, "+")
TOKEN(ID, "b")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(PRINTF, "printf")
TOKEN(LPAREN, "(")
TOKEN(STRING, ""int - unsigned = %u\n"")
TOKEN(COMA, ",")
TOKEN(ID, "a")
TOKEN(MINUS, "-")
TOKEN(ID, "b")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(PRINTF, "printf")
TOKEN(LPAREN, "(")
TOKEN(STRING, ""int * unsigned = %u\n"")
TOKEN(COMA, ",")
TOKEN(ID, "a")
TOKEN(MUL, "*")
TOKEN(ID, "b")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(PRINTF, "printf")
TOKEN(LPAREN, "(")
TOKEN(STRING, ""int / unsigned = %u\n"")
TOKEN(COMA, ",")
TOKEN(ID, "a")
TOKEN(DIV, "/")
TOKEN(ID, "b")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(PRINTF, "printf")
TOKEN(LPAREN, "(")
TOKEN(STRING, ""int + float = %f\n"")
TOKEN(COMA, ",")
TOKEN(ID, "a")
TOKEN(PLUS, "+")
TOKEN(ID, "c")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(PRINTF, "printf")
TOKEN(LPAREN, "(")
TOKEN(STRING, ""int - float = %f\n"")
TOKEN(COMA, ",")
TOKEN(ID, "a")
TOKEN(MINUS, "-")
TOKEN(ID, "c")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(PRINTF, "printf")
TOKEN(LPAREN, "(")
TOKEN(STRING, ""int * float = %f\n"")
TOKEN(COMA, ",")
TOKEN(ID, "a")
TOKEN(MUL, "*")
TOKEN(ID, "c")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(PRINTF, "printf")
TOKEN(LPAREN, "(")
TOKEN(STRING, ""int / float = %f\n"")
TOKEN(COMA, ",")
TOKEN(ID, "a")
TOKEN(DIV, "/")
TOKEN(ID, "c")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(PRINTF, "printf")
TOKEN(LPAREN, "(")
TOKEN(STRING, ""unsigned + float = %f\n"")
TOKEN(COMA, ",")
TOKEN(ID, "b")
TOKEN(PLUS, "+")
TOKEN(ID, "c")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(PRINTF, "printf")
TOKEN(LPAREN, "(")
TOKEN(STRING, ""unsigned - float = %f\n"")
TOKEN(COMA, ",")
TOKEN(ID, "b")
TOKEN(MINUS, "-")
TOKEN(ID, "c")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(PRINTF, "printf")
TOKEN(LPAREN, "(")
TOKEN(STRING, ""unsigned * float = %f\n"")
TOKEN(COMA, ",")
TOKEN(ID, "b")
TOKEN(MUL, "*")
TOKEN(ID, "c")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(PRINTF, "printf")
TOKEN(LPAREN, "(")
TOKEN(STRING, ""unsigned / float = %f\n"")
TOKEN(COMA, ",")
TOKEN(ID, "b")
TOKEN(DIV, "/")
TOKEN(ID, "c")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(RETURN, "return")
TOKEN(NUM, "0")
TOKEN(SEMICOL, ";")
TOKEN(RBRACE, "}")
TOKEN(END)

Scanner exitoso

